YEAR,LOCATION,ESTIMATE,ERROR,FUEL_TYPE
2016-01-01,Austin,152,133,Other fuel
2016-01-01,Austin,1508,548,No fuel
2017-01-01,Austin,376509,6217,Total
2017-01-01,Austin,155284,5376,Utility Gas
2017-01-01,Austin,6056,1490,Bottled/tank/LP Gas
2017-01-01,Austin,212068,6769,Electricity
2017-01-01,Austin,490,427,Fuel oil/kerosene/etc.
2017-01-01,Austin,112,132,Coke/Coal
2017-01-01,Austin,239,246,Wood
2017-01-01,Austin,419,289,Solar
2017-01-01,Austin,731,518,Other fuel
2017-01-01,Austin,1110,553,No fuel
2018-01-01,Austin,390395,6082,Total
2018-01-01,Austin,167564,5977,Utility Gas
2018-01-01,Austin,5516,1333,Bottled/tank/LP Gas
2018-01-01,Austin,214123,6162,Electricity
2018-01-01,Austin,220,274,Fuel oil/kerosene/etc.
2018-01-01,Austin,91,150,Coke/Coal
2018-01-01,Austin,447,383,Wood
2018-01-01,Austin,444,297,Solar
2018-01-01,Austin,400,298,Other fuel
2018-01-01,Austin,1590,618,No fuel
2019-01-01,Austin,409903,5829,Total
2019-01-01,Austin,181445,5993,Utility Gas
2019-01-01,Austin,5627,1458,Bottled/tank/LP Gas
2019-01-01,Austin,218888,7286,Electricity
2019-01-01,Austin,315,348,Fuel oil/kerosene/etc.
2019-01-01,Austin,243,372,Coke/Coal
2019-01-01,Austin,145,179,Wood
2019-01-01,Austin,836,399,Solar
2019-01-01,Austin,246,256,Other fuel
2019-01-01,Austin,2158,825,No fuel
